분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
경영·사무·금융·보험,[장애인채용] 경기문화재단 행정보조 인력 채용(주20시간 근무),（재）경기문화재단,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 4 개월,사무행정 보조,"지출서류 정리 및 편철 작업 등, 기타 행정업무 보조",,,"(16488) 경기도 수원시 팔달구 인계로 178 (인계동, 경기문화재단)","주 5일 근무, 오후 1시 00분 ~ 오후 5시 00분",,교육비 지원,4개월,"월급 1,248,450원 이상 ~ 1,248,450원 이하",,,"장애인용 주차장, 장애인용 화장실",,031-231-7217,,~ 2024.08.21,자사채용사이트(https://recruit.incruit.com/ggcf/job/2408060017),,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(중증)']",박물관 운영업,500 명,유인택,기타,"16488 경기도 수원시 팔달구 인계로 178 (인계동, 경기문화재단)"
영업·판매·운전·운송,[사회복지법인 밀알복지재단]굿윌스토어 밀알성북점 장애인 직원 채용공고(긴급),사회복지법인 밀알복지재단,관계없음,학력무관,,,,장애인만 채용,"장애인등록증 및 복지카드 소지, 직업재활 프로그램 참여 의지",기간의 정함이 없는 근로계약,"상품화 작업, 매장영업, 기증센터","물품 상품화, 매장 내 상품진열 및 정리정돈, 고객응대, 기증물품 접수 등",,,(02751) 서울특별시 성북구 오패산로4길 17 (하월곡동),"주 5일 근무, (오전) 10시 00분 ~ (오후) 5시 00분",,,,"월급 2,060,740원 이상, 면접 후 조정 가능",,,,,070-8708-9957,seongbuk@goodwill.org,~ 2024-08-20,이메일 접수,,,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['시각장애(중증)', '청각장애(중증)']",그 외 기타 비거주 복지 서비스업,243 명,홍정길,기타,06349 서울특별시 강남구 밤고개로1길 34 (수서동)
미용·여행·숙박·음식·경비·돌봄·청소,(장애인만 채용) 용인정신병원 미화업무 구인,주식회사벗이(Versi),관계없음,학력무관,,,,장애인만 채용,"지적, 정신 중증장애인만 채용",기간의 정함이 있는 근로계약 12개월,미화업무,용인정신병원 미화업무,,,경기도 용인시 기흥구 중부대로 940 (상하동),"주 4일, 08:00~14:00, 휴게시간 1시간","주 4일 근무 (주말 포함), 평균 근무시간 20시간",,12개월 후 상용직 전환 검토,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실, 장애물 없는 생활환경 우수 인증",,031-333-2114,smj5377@versi.co.kr,~ 2024-10-15,"워크넷, 이메일, 기타",,,"['정신장애', '지적장애']",[],상품 종합 도매업,95 명,박효서,중소기업,17162 경기도 용인시 처인구 양지면 학촌로53번길 4 (벗이미술관)
미용·여행·숙박·음식·경비·돌봄·청소,[구미시취업지원센터 채용대행] 이노텍 1공장 건물 청소.미화 직무(중증 장애인 채용건),이노위드 주식회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 24개월 / 계약기간 만료 후 상용직 전환 검토,건물 내외곽 환경 미화 직무,"화장실 청소, 복도 청소, 크린룸, 헬스장, 사무실 등 공장 건물 전체 청소",,,"(39268) 경상북도 구미시 수출대로7길 50-9, 엘지이노텍 1공장 (공단동)","주 5일, 오전 8시 30분 ~ 오후 12시 30분 또는 오후 1시 30분 ~ 5시 30분 (면접 시 협의 가능)",주 5일 근무,"통근버스, 차량유지비, 중식 제공",,"시급 9,860원 이상",,,,경상북도 구미시청,054-461-5515,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '청각장애(경증)', '언어장애(경증)']",['정신장애'],온라인 활용 마케팅 및 관련 사업지원 서비스업,316 명,백승남,대기업,"62229 광주광역시 광산구 하남산단5번로 26, LG이노텍 내 이노위드(주) (장덕동)"
경영·사무·금융·보험,"[중증장애인 재택근무자 채용] 온라인 홍보마케팅, 자료조사 단순 업무",(주)맨파워코리아,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3개월,"온라인 홍보 마케팅, 자료조사",온라인 홍보 마케팅 및 자료 수집,,,"(06162) 서울특별시 강남구 테헤란로 409 (삼성동, ,29,30 동신빌딩11층)","평일 (오전) 9시 00분 ~ (오후) 1시 30분, 주 5일 근무, 평균 근무시간: 20시간",,,최대 24개월까지 연장 가능,"월급 1,065,300원 이상 ~ 1,115,300원 이하",,,,,070-5227-5817,,~ 2024-08-31,"워크넷, 이메일",,http://www.manpower.co.kr/,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)', '청각장애(경증)', '언어장애(경증)']",['정신장애'],임시 및 일용 인력 공급업,45 명,문용기,중견기업,"06162 서울특별시 강남구 테헤란로 409 (삼성동, ,29,30 동신빌딩11층)"
영업·판매·운전·운송,[주4일] 구운몽 롯데백화점 잠실점 만두매장 파트타이머 모집,(주)더씨에이치디,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제),"만두류 조리보조, 판매 및 계산","만두 조리 보조 및 판매, 계산",,,"(05554) 서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 지하1층 (잠실동)","주 4일, 09:00~18:00, 휴게 1시간, 면접 시 협의 가능",주 4일 근무,,3 개월,"시급 9,860원 이상 ~ 11,900원 이하",,,,,070-5121-9584,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",일식 음식점업,180 명,최상업,,"06774 서울특별시 서초구 강남대로 27 (양재동, AT센타)"
미용·여행·숙박·음식·경비·돌봄·청소,[판교] 사무실 내 카페테리아 관리자 구인,(주)실리콘투,경력 (최소 1년) 필수,학력무관,,,,장애인만 채용,의사소통 원활한 자 또는 카페 근무 경험자,정규직 (3개월 수습 후 평가하여 정규직 전환),카페테리아 관리자,1) 손님 주문 받아 커피/음료/차 제공 2) 다회용컵 설거지 3) 카페테리아 청소 및 재고 정리 4) 버튼식 커피머신 사용,,,"(13494) 경기도 성남시 분당구 판교역로 231, 904~911호 (삼평동, 에이치스퀘어)","주 5일 (월~금), 오후 8시 ~ 오후 5시",,"기타(간식 및 음료 제공, 2년에 1번 건강검진 제공 (20~30만원 상당))",,"월급 2,060,740원 이상 ~ 2,060,740원 이하",,,,,070-8622-5901,belle@siliconii.net,~ 채용시까지,"워크넷 지원 또는 이메일 지원 (이력서, 자기소개서, 바리스타 자격증 송부 (선택))",,,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",화장품 및 화장용품 도매업,200 명,김성운,중소기업,"13494 경기도 성남시 분당구 판교역로 231, 905, 906, 907, 911호 (삼평동, 에이치스퀘어)"
교육·법률·사회복지·경찰·소방 및 군인,(주)모두의교육그룹 온라인교육지원 사무종사자 모집(장애인 직원 5명 모집),주식회사 모두의교육그룹,관계없음,학력무관,,,,장애인만 채용,"기본적인 커뮤니케이션 가능, 기본적인 PC 사용 가능(PC 보유자)",기간의 정함이 있는 근로계약 11개월,온라인 교육 플래너,"프로그램 활용하여 기업의 교육 수강자 관리, 교육계획서 발송, 교육 수강 시작 안내 알림, 교육 수강 미달 시 독려 문자 발송, 수강 완료 후 설문 조사 등, 기타 사무 보조 업무",,,"(08592) 서울특별시 금천구 가산디지털1로 75-15 (가산동, 가산 하우스디 와이즈타워)","주 4일 근무, (근무시간) (오전) 9시 00분 ~ (오후) 1시 30분",,,11개월 계약,"월급 828,240원 이상",,,,,070-4887-1735,,~ 2024-08-21,이메일,,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '청각장애(중증)', '언어장애(중증)']",응용 소프트웨어 개발 및 공급업,42 명,이영신,중소기업,"08592 서울특별시 금천구 가산디지털1로 75-15 (가산동, 가산 하우스디 와이즈타워)"
교육·법률·사회복지·경찰·소방 및 군인,채움테크 장애인보호작업장 직업훈련교사(5호봉이하) 채용 공고(채용시조기마감),채움테크,경력무관,학력무관,,,"직업재활, 특수교육 관련 전공",장애인만 채용,장애인직업재활시설 근무 경력자 우대,정규직,직업훈련교사,"장애인 직업적응훈련, 작업지도 등 직업훈련교사 업무 전반",5호봉 이하,,경기 광주시,주 5일 40시간 근무,정규직,,,회사 내규에 따름 (면접 시 협의),,,,,031-767-1280,chum2020@naver.com,2024년 8월 13일(화) ~ 8월 27일(화) 18:00,"이메일 접수, 우편접수(접수기간 도착분까지)",서류전형 > 면접전형 > 최종합격,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",,,,,"경기도 광주시 도척면 시어골길 71-25, 2동"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,[채용대행](장애인채용)생산시설 단순조립 인력 채용,(사단법인）장애인인권센터ICT사업단,관계없음,학력무관,,,,장애인만 채용,"중증장애인 우대, 인근지역 거주자 우대",기간의 정함이 없는 근로계약(시간(선택)제),생산시설 단순조립 / 임가공 / 생산시설 미화 인력,생산시설 단순조립 / 임가공 / 생산시설 미화,,,"경기도 고양시 덕양구 향동로 217, DMC플렉스 데시앙 3층","주 5일 근무, (오전) 9시 00분 ~ (오후) 2시 00분",,,,"시급 9,860원 이상 ~ 9,860원 이하, 면접 후 재조정 가능",,,"장애인용 주차장, 장애인용 화장실",,02-6123-4402,hcdpict-1@daum.net,~ 채용시까지,이메일 접수,,,"['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","['시각장애(중증)', '청각장애(중증)']",포털 및 기타 인터넷 정보매개 서비스업,32 명,박호상,,"10545 경기도 고양시 덕양구 향동로 217, 3층 F336,F337,F338,F346호 (향동동, DMC플렉스데시앙)"
경영·사무·금융·보험,"[재택근무,정규직] ㈜넥스파시스템 상담직 장애인 인재 모집",㈜넥스파시스템,경력무관,학력무관,,,,장애정도 무관,"등록장애인, 심한장애(중증) 우대, TM 아웃바운드 영업 유경험자 우대",정규직,고객 안내(추가 채용),"제품 시연을 위한 미팅 일정 컨택, 무료 시범설치 안내",면접 후 결정,면접 후 결정,재택근무,"일 4 / 6시간 선택 (월 ~ 금, 휴게시간 별도)",,"명절선물, 합격축하금, 4대 보험, 연차 등",,"월 1,031,000원~1,543,000원(근무시간 별 차등 적용)",,,,현주영,,manager@narahr.com,2024.08.19 ~ 2024.09.09,"입사지원서(자유양식) 이메일 접수, 제목을 넥스파시스템-고객안내로 요청",서류전형 → 면접전형(화상/대면) → 최종합격,https://www.ablejob.co.kr/,"['지체장애(경증)', '지적장애']","['청각장애(중증)', '언어장애(중증)']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
미용·여행·숙박·음식·경비·돌봄·청소,"(장애인전형,구로)TP그룹 매장관리 모집",나라에이치알,경력무관,학력무관,,,,장애인만 채용 심한 장애,"인근 거주자, 식당 및 매장직 근무 경력자 우대",계약직,매장 관리,"테이블 청소, 바닥청소(더러워진 곳만), 소모품 보충(휴지, 종이컵)",사원급,팀원,"서울 구로구 디지털로 31길 12, TP타워 푸드코트","월~금 (주5일, 공휴일 휴무), 10:00~13:55","계약직 1년 (수습기간 3개월, 급여 100% 동일)",근무복 제공 등,,"월급 1,252,000원",1년,,,현주영,,manager@narahr.com,2024.07.31 ~ 2024.08.26,"장애인채용포털 접수, 이메일",서류전형 → 면접전형 → 최종합격,https://www.ablejob.co.kr/,"['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","['시각장애(중증)', '청각장애(중증)']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
경영·사무·금융·보험,[4차]연천군수어통역센터 청각장애인통역사 채용공고,연천군수어통역센터,관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약,청각장애인통역사,중계통역 및 사무행정,,,"(11030) 경기도 연천군 전곡읍 선사로 447, 1층, 연천군수어통역센터","주 5일 근무, 오전 9시 00분 ~ 오후 6시 00분",,,24 개월 / 계약기간 만료 후 상용직 전환 검토,"월급 2,140,300원 이상 ~ 2,534,500원 이하, 상여금 120% (미 포함)",,,,,031-834-5030,,~ 2024-09-05,"워크넷, 이메일",,,"['청각장애(경증)', '청각장애(중증)']","['지체장애(중증)', '시각장애(중증)']",그 외 기타 비거주 복지 서비스업,4 명,박미영,,"11030 경기도 연천군 전곡읍 선사로 447, 1층, 연천군수어통역센터"
경영·사무·금융·보험,"[컬리] 사무보조(엑셀 입력, 데이터 정리)(재택(서울), 일 8시간)",주식회사컬리,관계없음,학력무관,,,,장애인만 채용,,계약직(1년),사무보조,상품 관련 데이터 입력 및 서칭 (엑셀사용),,,"(06133) 서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)","주 5일 근무, (오전) 10시 00분 ~ (오후) 7시 00분 / 일 8시간 (휴게시간 60분 별도 / 근무시간 협의 가능)",재택근무,"4대보험 및 상해보험, 퇴직연금, 컬리 적립금 지급 등",12 개월,"시급 9,860원 이상 ~ 9,860원 이하",,"재택근무, 초반 약 2주 정도 출퇴근 필요",,,,,~ 채용시까지,워크넷을 통한 지원,서류 전형 - 면접 전형 - 최종 합격자 발표,https://www.ablejob.co.kr/recruit/market.kurly.com,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)', '정신장애']","['뇌병변장애(중증)', '시각장애(중증)']",과실류 도매업,2500 명,김슬아,중견기업,"06133 서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)"
경영·사무·금융·보험,[아데나소프트웨어] 장애인근로자 사무실 및 사내카페 총무 근로자 모집(~채용시까지),주식회사아데나소프트웨어,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 12 개월,사무실 및 사내카페 총무,"비품 정리, 냉장고 정리, 회의실 및 휴게공간 정리, 우편물 및 택배 수발 업무, 기타 총무관련 부수 업무",,,"(06141) 서울특별시 강남구 테헤란로 207, 아가방빌딩 12층 (역삼동)","주 5일 근무, (오전) 7시 00분 ~ (오전) 11시 30분/ 협의 가능",계약직(1년) / 계약기간 만료 후 상용직 전환검토,,,"월급 1,050,000원 이상 ~ 1,050,000원 이하, 면접 후 재조정 가능",,,,,02-555-5156,,~ 채용시까지,"워크넷,워크투게더(장애인고용포털)",,,"['지체장애(경증)', '뇌병변장애(경증)']","['시각장애(중증)', '청각장애(중증)']",응용 소프트웨어 개발 및 공급업,130 명,정승우,중소기업,06141 서울특별시 강남구 테헤란로 207 (역삼동)
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용](주)드림누리 야간 청소미화 직원 모집(마곡동),(주)드림누리,관계없음,학력무관,,,,장애인만 채용,"운전면허증, 미화 경력자(화장실 청소, 홀 청소, 흡진 청소) 우대, 경증 장애인 우대(손발에 불편함이 없는), 청각 장애인 중증 우대",기간의 정함이 있는 근로계약 12 개월,청소미화,"사무실 및 공용구역 청소, 남/여 화장실 청소, 탕비실 청소, 엘리베이터 홀 청소, 분리수거",,,서울특별시 강서구 마곡중앙로 150,"(일~목) 20:00~05:00 (휴게시간: 1시간), 주 5일 근무",정해진 근무시간/ 이중취업 불가,기타(식대 지급),12개월,"월급 2,700,000원 이상, 상여금 : 160% (미 포함)",12개월,"청소 관련 업무로 손, 팔, 다리 사용","장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,02-6924-1304,,~ 2024-09-02,"워크넷, 기타(인근 거주자 우대)",,http://www.dreamnuri.co.kr/,"['지체장애(경증)', '청각장애(중증)']","['지체장애(중증)', '뇌병변장애(중증)', '내부장애(중증)']",사업시설 유지․관리 서비스업,59 명,정만근,중소기업,07789 서울특별시 강서구 마곡중앙로 150 (마곡동)
설치·정비·생산·인쇄·목재·공예 및 제조 단순,복사용지 생산 직원 모집,사단법인에스디워크새로운세상,관계없음,학력무관,,,,장애인만 채용,복지카드 소지자만 지원 가능,기간의 정함이 있는 근로계약(시간(선택)제) 4 개월 / 계약기간 만료 후 상용직 전환 검토,복사용지 생산,,,,경기도 파주시 교하로863번길 37 (문발동),"주 5일 근무, (오후) 8시 30분 ~ (오후) 12시 30분",시간제,,4개월,"시급 9,860원 이상",,,,,031-8035-6500,,~ 채용시까지,"팩스, 이메일",,,"['지체장애(경증)', '시각장애(경증)']","['지체장애(중증)', '청각장애(중증)']",기타 인쇄업,14 명,함원준,,"10880 경기도 파주시 교하로863번길 37, 1동,2동 (문발동)"
미용·여행·숙박·음식·경비·돌봄·청소,성실하고 꾸준히 근무 해 주실 원무과 야간당직 직원을 모집합니다.,고려수재활요양병원,신입무관 (졸업예정자 가능),학력무관,,,"보건행정, 원무행정 관련 학과 우대",장애인만 채용,"운전면허증, 병원 접수 수납 경력, 의무기록사, 사회복지사, 간호조무사 자격증 등",기간의 정함이 없는 근로계약,야간 당직 업무,"야간 당직 업무로, 부담 없는 업무",,,"경기도 부천시 원미구 부일로 504, 고려수재활요양병원","격일 근무 [월~금] 18:00 ~ 익일 09:00 [토] 13:00 ~ 익일 09:00 [일, 공휴일] 18:00 ~ 익일 09:00","주 4일 근무, 평균근무시간: 32시간","4대 보험, 퇴직금, 건강검진, 가족 의료비 감면, 경조금, 시무식, 워크샵 등",,"연봉 29,000,000원 이상",,,,,032-347-2300,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",요양 병원,171 명,채수한,,"14643 경기도 부천시 원미구 부일로 504, 고려수재활요양병원 (심곡동, 145-1)"
미용·여행·숙박·음식·경비·돌봄·청소,라일락마을 경남아너스빌 아파트 외곽 미화원 모집(복지카드소지자만 지원 가능),(주)현대종합관리,관계없음,학력무관,,,,장애인만 채용,복지카드 소지자만 지원 가능,기간의 정함이 있는 근로계약 5개월,아파트 외곽 청소업무,아파트 외곽 청소 업무,,,"(14508) 경기도 부천시 원미구 도약로 16, 경남아너스빌 아파트 (상동, 라일락마을)","주 6일 근무, 평일 09:00 ~ 15:30, 목요일 13:00 ~ 21:00, 토요일 09:00 ~ 12:00",,,계약기간 만료 후 상용직 전환 검토,"월급 1,547,040원 이상 ~ 1,547,040원 이하",,,,,010-6223-2356,,~ 2024-09-02,전화 지원,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['정신장애', '지체장애(중증)', '뇌병변장애(중증)']",건축물 일반 청소업,300 명,김철하,중소기업,"21069 인천광역시 계양구 오조산로57번길 15 (계산동, 명동빌딩)"
기타,장애인자립생활센터 센터장 재공고[울주군청채용대행],울산울주군장애인자립생활센터,경력 (최소3년) 필수,학력무관,,,,장애인만 채용,"장애인자립생활센터 3년 이상 활동한 장애인, 사회복지사 자격증 소지",기간의 정함이 없는 근로계약,센터 관리 운영,전반적인 센터 관리 운영,,센터장,"(44922) 울산광역시 울주군 범서읍 대리3길 20-9, 1층","평일 : 오전 9시 ~ 오후 6시, 주 5일 근무, 평균 근무시간 : 40시간",,"4대보험 가입 예정, 명절상여금",,"월급 2,380,000원 이상 ~ 2,380,000원 이하",,,,울산광역시 울주군청,052-204-1376,,2024.08.20 ~ 2024.08.31 18시까지,"워크넷, 자사채용사이트, 울주군일자리안내지원센터",,,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)']","['정신장애', '지적장애', '자폐성장애']",그 외 기타 비거주 복지 서비스업,3 명,성현정,,"44922 울산광역시 울주군 범서읍 대리3길 20-9, 1층"
미용·여행·숙박·음식·경비·돌봄·청소,한국항공대학교 총무팀(시설관리원) 모집_복지카드 소지자 채용,한국항공대학교,관계없음,학력무관,,,,장애인만 채용,"중증장애인 우대, 수목관리 가능자, 예초기 사용 가능자, 국가보훈대상자 우대",기간의 정함이 있는 근로계약(6개월),시설관리원,"교내 수목/조경 관리, 도로 및 화단정비, 교내 행사 시 집기 운반 및 설치, 동절기 제설작업, 교내 방역 및 소독, 기타 총무팀 지시 업무",,,경기도 고양시 덕양구 항공대학로 76 (화전동),"주 5일 근무, 06:30~15:30 (휴게시간 10:00~11:00)",정상근무,,"6개월 계약 후, 근무평가에 따라 재임용 여부 결정 (최대 2년 계약 가능)","월급 2,200,000원 이상",,,,,02-300-0490,,~ 채용시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.kau.ac.kr,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['정신장애', '자폐성장애']",대학교,400명,허희영,,10540 경기도 고양시 덕양구 항공대학로 76 (화전동)
미용·여행·숙박·음식·경비·돌봄·청소,빕스은평롯데점 함께 하실 사원을 모집합니다.[장애인만 채용],씨제이푸드빌(주),관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),단순 반입 후 작업 및 세척 작업,간단한 분류작업 및 단순반복 세척작업,,,"(03306) 서울특별시 은평구 통일로 1050, 3층 vips (진관동)","주 5일 근무, 4시간~최대 8시간",스케줄 근무로 주말근무 시 평일 휴무,,,"시급 9,860원 이상, 면접 후 재조정 가능",,,,,02-6975-5338,alonefriend@cj.net,~ 채용시까지,이메일 또는 문자 지원,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)', '정신장애']",일식 음식점업,2300 명,김찬호,대기업,"04555 서울특별시 중구 마른내로 34, 3/9~11층 (주)케이티앤지 을지로타워"
미용·여행·숙박·음식·경비·돌봄·청소,[고양시 건강가정지원센터] 시간제근로자(장애인) 채용,고양시 건강가정지원센터,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제) 12 개월,공동육아나눔터 운영,,,,"(10397) 경기도 고양시 일산동구 장항한강2로 20, 내 기관보육지원시설 2층 공동육아나눔터 (장항동, 일산라이브더센텀)",주 5일 (오전) 9시 00분 ~ (정오) 12시 00분,,,계약기간 : 2024년 9월 4일 ~ 2025년 9월 3일,"시급 10,870원 이상 ~ 10,870원 이하",,,,,031-817-4045,gofc2006@hanmail.net,2024년 8월 19일(월) ~ 2024년 9월 2일(월) 14:00까지,"방문, 이메일",,http://goyangfc.familynet.or.kr,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지적장애', '정신장애']",기타 비거주 복지 서비스업,310 명,김나연,,"10226 경기도 고양시 일산서구 중앙로 1600, 2층 (대화동)"
미용·여행·숙박·음식·경비·돌봄·청소,건물관리원 채용,삼주비엠에스 주식회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),건물관리,건물 관리 및 유지보수,,,"(21351) 인천광역시 부평구 길주남로 123 (부개동, 삼주빌딩)","평일 : 월~금요일 8시~17시(근로시간: 3.2시간, 휴게시간: 5.8시간), 토요일 8시~11시(근로시간: 3시간)",주 6일 근무,,,"월급 1,036,000원 이상",,,,,032-508-8285,,~ 채용시까지,방문,,,"['지체장애(경증)', '청각장애(경증)']","['청각장애(중증)', '시각장애(중증)']",온라인 활용 마케팅 및 관련 사업지원 서비스업,10 명,유성희,중소기업,"21351 인천광역시 부평구 길주남로 123 (부개동, 삼주빌딩)"
영업·판매·운전·운송,[사회복지법인 밀알복지재단]굿윌스토어 밀알성북점 장애인 직원 채용공고(긴급),사회복지법인 밀알복지재단,관계없음,학력무관,,,,장애인만 채용,장애인복지법 시행규칙 제4조에 의한 장애인 등록 및 복지카드 발급자,기간의 정함이 없는 근로계약,"상품화 작업, 매장영업, 기증센터","상품화 작업, 매장 내부 및 외부 판촉 행사 지원, 고객응대 및 청결관리, 기증자 응대 및 기증물품 접수",,,(02751) 서울특별시 성북구 오패산로4길 17 (하월곡동),"주 5일 근무, (오전) 10시 00분 ~ (오후) 5시 00분",전체 근로시간: 40시간,,,"월급 2,060,740원 이상, 면접 후 조정 가능",,,,,070-8708-9957,seongbuk@goodwillstore.org,~ 2024년 8월 20일,이메일 접수,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,243 명,홍정길,기타,06349 서울특별시 강남구 밤고개로1길 34 (수서동)
경영·사무·금융·보험,"[중증장애인 재택근무자 채용] 온라인 홍보마케팅, 자료조사 단순 업무",(주)맨파워코리아,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3개월,"온라인 홍보 마케팅, 자료 조사",#NAME?,,,"(06162) 서울특별시 강남구 테헤란로 409 (삼성동, ,29,30 동신빌딩11층)","주 5일, (오전) 9시 00분 ~ (오후) 1시 30분, 평균 근무시간: 20시간",재택근무,,최대 24개월까지 연장 가능,"월급 1,065,300원 이상 ~ 1,115,300원 이하",,,,,070-5227-5817,,~ 2024-08-31,"워크넷, 이메일",,http://www.manpower.co.kr/,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['청각장애(중증)', '언어장애(중증)']",임시 및 일용 인력 공급업,5955 명,문용기,중견기업,"06162 서울특별시 강남구 테헤란로 409 (삼성동, ,29,30 동신빌딩11층)"
영업·판매·운전·운송,[주4일] 백화점매장 조리 및 판매서비스 파트타이머 모집,(주)더씨에이치디,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제) 3 개월,조리 및 판매서비스,"조리보조, 판매 및 계산",,,"(06774) 서울특별시 서초구 강남대로 27, at센터 1203호 (양재동, AT센타)","주 4일, 09:00~18:00, 휴게 1시간 (면접 시 협의)",,,3 개월,"시급 9,860원 이상 ~ 11,900원 이하",,,,,070-5121-9584,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '청각장애(중증)', '언어장애(중증)']",일식 음식점업,180 명,최상업,,"06774 서울특별시 서초구 강남대로 27 (양재동, AT센타)"
기타,[채용대행]8월 장애인 취업 희망의 날 참여기업(장애인채용)생산시설 단순조립 인력 채용,(사단법인）장애인인권센터ICT사업단,관계없음,학력무관,,,,장애인만 채용,"중증장애인 우대, 인근지역 거주자 우대",기간의 정함이 없는 근로계약 (시간(선택)제),생산시설 단순조립 / 임가공 / 생산시설 미화,,,,"경기도 고양시 덕양구 향동로 217, DMC플렉스데시앙 3층","주 5일 근무, (오전) 9시 00분 ~ (오후) 2시 00분",,,,"시급 9,860원 이상 ~ 9,860원 이하, 면접 후 재조정 가능",,,"장애인용 주차장, 장애인용 화장실",경기도 고양시청,031-8075-3660,hcdpict-1@daum.net,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)', '정신장애']",포털 및 기타 인터넷 정보매개 서비스업,32 명,박호상,,"10545 경기도 고양시 덕양구 향동로 217, 3층 F336,F337,F338,F346호 (향동동, DMC플렉스데시앙)"
